2022-08-14 12:17:05.803352+CSQ: RSSI: 31 BER:99
2022-08-14 12:17:09.791900+CSQ: RSSI: 31 BER:99
2022-08-14 13:00:55.471474 | +CSQ: RSSI: 31 BER:99
2022-08-14 13:01:54.501601 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:09:40.431945 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:09:42.445797 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:09:44.459427 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:09:46.473611 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:09:48.487656 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:09:50.501906 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:09:52.516099 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:09:54.530129 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:09:56.544207 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:09:58.558202 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:00.572736 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:02.587080 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:04.601471 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:06.615705 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:08.629615 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:10.643617 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:12.657889 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:14.671927 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:16.686003 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:18.699906 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:20.713918 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:22.728268 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:24.742546 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:26.756818 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:28.770843 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:30.784860 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:32.799301 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:34.813311 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:36.827680 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:38.841582 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:10:40.855432 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:22:55.101173 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:22:57.114991 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:22:59.129025 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:23:01.142803 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:23:03.156850 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:23:05.170864 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 13:23:07.184444 | +CSQ: RSSI: 31 BER:99 | 
------------------------------------------------------------------------2022-08-14 21:02:50.525960 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 21:02:52.539221 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 21:02:54.552640 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 21:02:56.567201 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 21:02:58.580770 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 21:03:00.593957 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 21:03:02.607377 | +CSQ: RSSI: 31 BER:99 | 
2022-08-14 21:03:04.620430 | +CSQ: RSSI: 31 BER:99 | 
